Spp_jetz;animal;Imports
Columba_livia;Columba_livia;89328
Columba_unicincta;Columba_unicincta;635
Copsychus_malabaricus;Copsychus_malabaricus;5729
Coracopsis_nigra;Coracopsis_nigra;6357
Coracopsis_vasa;Coracopsis_vasa;5056
Corythaeola_cristata;Corythaeola_cristata;2064
Coscoroba_coscoroba;Coscoroba_coscoroba;664
Cosmopsarus_regius;Cosmopsarus_regius;589
Crax_alberti;Crax_alberti;27
Crax_alector;Crax_alector;36
Crax_blumenbachii;Crax_blumenbachii;16
Crax_daubentoni;Crax_daubentoni;38
Crax_globulosa;Crax_globulosa;30
Crax_rubra;Crax_rubra;182
Crinifer_piscator;Crinifer_piscator;2220
Crossoptilon_crossoptilon;Crossoptilon_crossoptilon;1146
Crossoptilon_mantchuricum;Crossoptilon_mantchuricum;870
Cryptospiza_reichenovii;Cryptospiza_reichenovii;514
Cyanoliseus_patagonus;Cyanoliseus_patagonus;160786
Cyanopsitta_spixii;Cyanopsitta_spixii;94
Cyanoptila_cyanomelana;Cyanoptila_cyanomelana;2302
Cyanoramphus_auriceps;Cyanoramphus_auriceps;25179
Cyanoramphus_forbesi;Cyanoramphus_forbesi;9
Cyanoramphus_malherbi;Cyanoramphus_malherbi;557
Cyanoramphus_novaezelandiae;Cyanoramphus_novaezelandiae;31827
Cyanoramphus_unicolor;Cyanoramphus_unicolor;1
Cyclopsitta_diophthalma;Cyclopsitta_diophthalma;6278
Cyclopsitta_gulielmitertii;Cyclopsitta_gulielmitertii;1463
Cygnus_columbianus;Cygnus_columbianus;41
Cygnus_melancoryphus;Cygnus_melancoryphus;4616
Cyrtonyx_montezumae;Cyrtonyx_montezumae;6
Damophila_julie;Damophila_julie;240
Dendrocygna_arborea;Dendrocygna_arborea;325
Dendrocygna_autumnalis;Dendrocygna_autumnalis;377
Dendrocygna_bicolor;Dendrocygna_bicolor;459
Dendrocygna_viduata;Dendrocygna_viduata;1006
Deroptyus_accipitrinus;Deroptyus_accipitrinus;15226
Diopsittaca_nobilis;Diopsittaca_nobilis;37957
Doryfera_ludovicae;Doryfera_ludovicae;3
Dryotriorchis_spectabilis;Dryotriorchis_spectabilis;1
Eclectus_roratus;Eclectus_roratus;52543
Egretta_garzetta;Egretta_garzetta;112
Elanoides_forficatus;Elanoides_forficatus;1
Elanus_axillaris;Elanus_axillaris;50
Elanus_caeruleus;Elanus_caeruleus;390
Enicognathus_ferrugineus;Enicognathus_ferrugineus;3078
Enicognathus_leptorhynchus;Enicognathus_leptorhynchus;4309
Ensifera_ensifera;Ensifera_ensifera;54
Eos_bornea;Eos_bornea;130585
Eos_cyanogenia;Eos_cyanogenia;3853
Eos_histrio;Eos_histrio;1006
Eos_reticulata;Eos_reticulata;36293
Eos_semilarvata;Eos_semilarvata;333
Eos_squamata;Eos_squamata;18912
Ephippiorhynchus_senegalensis;Ephippiorhynchus_senegalensis;953
Epimachus_albertisi;Epimachus_albertisi;1
Epimachus_meyeri;Epimachus_meyeri;10
Erythrura_coloria;Erythrura_coloria;3
Estrilda_astrild;Estrilda_astrild;323869
Estrilda_caerulescens;Estrilda_caerulescens;540104
Estrilda_melpoda;Estrilda_melpoda;1234190
Estrilda_quartinia;Estrilda_quartinia;210
Estrilda_troglodytes;Estrilda_troglodytes;1287438
Eudocimus_ruber;Eudocimus_ruber;4238
Eugenes_fulgens;Eugenes_fulgens;2
Eunymphicus_cornutus;Eunymphicus_cornutus;449
Eupherusa_eximia;Eupherusa_eximia;2
Euplectes_afer;Euplectes_afer;408250
Euplectes_ardens;Euplectes_ardens;27610
Euplectes_franciscanus;Euplectes_franciscanus;62304
Euplectes_hordeaceus;Euplectes_hordeaceus;145390
Euplectes_jacksoni;Euplectes_jacksoni;300
Euplectes_macroura;Euplectes_macroura;42063
Euplectes_orix;Euplectes_orix;633744
Eupodotis_afra;Eupodotis_afra;4
Eupodotis_gindiana;Eupodotis_gindiana;36
Eupodotis_humilis;Eupodotis_humilis;1
Eupodotis_melanogaster;Eupodotis_melanogaster;46
Eupodotis_ruficrista;Eupodotis_ruficrista;63
Eupodotis_senegalensis;Eupodotis_senegalensis;1203
Eutoxeres_condamini;Eutoxeres_condamini;1
Falco_alopex;Falco_alopex;185
Falco_amurensis;Falco_amurensis;2
Falco_araea;Falco_araea;2
Falco_ardosiaceus;Falco_ardosiaceus;20
Falco_biarmicus;Falco_biarmicus;1780
Falco_cherrug;Falco_cherrug;22496
Falco_chicquera;Falco_chicquera;110
Falco_columbarius;Falco_columbarius;344
Falco_concolor;Falco_concolor;15
Falco_cuvierii;Falco_cuvierii;35
Falco_deiroleucus;Falco_deiroleucus;108
Falco_dickinsoni;Falco_dickinsoni;1
Falco_eleonorae;Falco_eleonorae;11
Falco_fasciinucha;Falco_fasciinucha;12
Falco_femoralis;Falco_femoralis;499
Falco_hypoleucos;Falco_hypoleucos;2
Falco_jugger;Falco_jugger;143
Falco_mexicanus;Falco_mexicanus;193
Falco_naumanni;Falco_naumanni;30
Falco_novaeseelandiae;Falco_novaeseelandiae;32
