"","tip","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id"
"111","Anas discors","Anas discors","COBRA02","BWTE33","Leucocytozoon","Anas discors","Anas_discors","yes","Anas discors","COBRA02 Anas discors"
"112","Anas discors","Anas discors","GRW06","BWTE10","Plasmodium","Anas discors","Anas_discors","yes","Anas discors","GRW06 Anas discors"
"113","Anas discors","Anas discors","NYCNYC01","BWTE04","Plasmodium","Anas discors","Anas_discors","yes","Anas discors","NYCNYC01 Anas discors"
"114","Anas discors","Anas discors","ANACU04","BWTE20","Leucocytozoon","Anas discors","Anas_discors","yes","Anas discors","ANACU04 Anas discors"
"115","Anas discors","Anas discors","PESA01","BWTE05","Plasmodium","Anas discors","Anas_discors","yes","Anas discors","PESA01 Anas discors"
"116","Anas discors","Anas discors","HELLI01","BWTE18","Leucocytozoon","Anas discors","Anas_discors","yes","Anas discors","HELLI01 Anas discors"
"117","Anas discors","Anas discors","BWTE22","BWTE22","Leucocytozoon","Anas discors","Anas_discors","yes","Anas discors","BWTE22 Anas discors"
"118","Anas discors","Anas discors","TUSW05","BWTE23","Leucocytozoon","Anas discors","Anas_discors","yes","Anas discors","TUSW05 Anas discors"
"119","Anas discors","Anas discors","BT7","BWTE12","Plasmodium","Anas discors","Anas_discors","yes","Anas discors","BT7 Anas discors"
"120","Anas discors","Anas discors","CYGNUS01","BWTE01","Haemoproteus","Anas discors","Anas_discors","yes","Anas discors","CYGNUS01 Anas discors"
"121","Anas discors","Anas discors","TUSW03","BWTE26","Leucocytozoon","Anas discors","Anas_discors","yes","Anas discors","TUSW03 Anas discors"
"122","Anas discors","Anas discors","STVAR04","BWTE07","Plasmodium","Anas discors","Anas_discors","yes","Anas discors","STVAR04 Anas discors"
"123","Anas discors","Anas discors","BWTE19","BWTE19","Leucocytozoon","Anas discors","Anas_discors","yes","Anas discors","BWTE19 Anas discors"
"124","Anas discors","Anas discors","MYCAME02","BWTE14","Plasmodium","Anas discors","Anas_discors","yes","Anas discors","MYCAME02 Anas discors"
"125","Anas discors","Anas discors","SW5","BWTE08","Plasmodium","Anas discors","Anas_discors","yes","Anas discors","SW5 Anas discors"
"126","Anas georgica","Anas georgica","ANAGEO01","","Plasmodium","Anas georgica",NA,NA,"Anas georgica","ANAGEO01 Anas georgica"
"127","Anas platyrhynchos","Anas platyrhynchos","SW5","Anas platyrhynchos 1,Anas platyrhynchos 3,Anas platyrhynchos 4","Plasmodium","Anas platyrhynchos","Anas_platyrhynchos","yes","Anas platyrhynchos","SW5 Anas platyrhynchos"
"128","Andropadus gracilis","Andropadus gracilis","GRW09","P46","Plasmodium","Andropadus gracilis","Andropadus_gracilis","yes","Andropadus gracilis","GRW09 Andropadus gracilis"
"129","Andropadus latirostris","Andropadus latirostris","ANLAT07","PV9","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT07 Andropadus latirostris"
"130","Andropadus latirostris","Andropadus latirostris","GRW09","PV12","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","GRW09 Andropadus latirostris"
"131","Andropadus latirostris","Andropadus latirostris","ANLAT05","PV2","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT05 Andropadus latirostris"
"132","Andropadus latirostris","Andropadus latirostris","ANLAT09","PV4L","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT09 Andropadus latirostris"
"133","Andropadus latirostris","Andropadus latirostris","ANLAT01","pANLA1","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT01 Andropadus latirostris"
"134","Andropadus latirostris","Andropadus latirostris","PHICT01","WA16","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","PHICT01 Andropadus latirostris"
"135","Andropadus latirostris","Andropadus latirostris","ANLAT04","WA17","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT04 Andropadus latirostris"
"136","Andropadus latirostris","Andropadus latirostris","ANLAT06","PV6","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT06 Andropadus latirostris"
"137","Andropadus latirostris","Andropadus latirostris","ANLAT02","hANLA1","Haemoproteus","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT02 Andropadus latirostris"
"138","Andropadus milanjensis","Andropadus milanjensis","GRW09","PV12L","Plasmodium","Andropadus milanjensis","Andropadus_milanjensis","yes","Andropadus milanjensis","GRW09 Andropadus milanjensis"
"139","Andropadus virens","Andropadus virens","WW3","WW7","Plasmodium","Andropadus virens","Andropadus_virens","yes","Andropadus virens","WW3 Andropadus virens"
"140","Andropadus virens","Andropadus virens","GRW09","P46","Plasmodium","Andropadus virens","Andropadus_virens","yes","Andropadus virens","GRW09 Andropadus virens"
"143","Anous stolidus","Anous stolidus","CREFUR01","1 JM-2013","Haemoproteus","Anous stolidus","Anous_stolidus","yes","Anous stolidus","CREFUR01 Anous stolidus"
"144","Anthornis melanura","Anthornis melanura","GRW06","LIN2","Plasmodium","Anthornis melanura","Anthornis_melanura","yes","Anthornis melanura","GRW06 Anthornis melanura"
"145","Anthornis melanura","Anthornis melanura","BELL01","LIN1","Plasmodium","Anthornis melanura","Anthornis_melanura","yes","Anthornis melanura","BELL01 Anthornis melanura"
