"","tip","X","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id","Species3","Order3"
"56","Acrocephalus scirpaceus",65,"Acrocephalus scirpaceus","GRW06","MAPP1","Plasmodium","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","GRW06 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
"57","Acrocephalus scirpaceus",66,"Acrocephalus scirpaceus","RTSR1","","Plasmodium","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","RTSR1 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
"58","Acrocephalus scirpaceus",67,"Acrocephalus scirpaceus","SW5","","Plasmodium","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","SW5 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
"59","Acrocephalus scirpaceus",68,"Acrocephalus scirpaceus","MW1","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","MW1 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
"60","Acrocephalus scirpaceus",69,"Acrocephalus scirpaceus","RW2","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","RW2 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
"61","Acrocephalus scirpaceus",70,"Acrocephalus scirpaceus","WW2","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","WW2 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
"62","Acrocephalus scirpaceus",71,"Acrocephalus scirpaceus","GRW11","","Plasmodium","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","GRW11 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
"63","Acrocephalus scirpaceus",72,"Acrocephalus scirpaceus","ARW1","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","ARW1 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
"64","Acrocephalus scirpaceus",73,"Acrocephalus scirpaceus","RW1","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","RW1 Acrocephalus scirpaceus","Acrocephalus scirpaceus","Passeriformes"
"65","Acrocephalus sechellensis",74,"Acrocephalus sechellensis","GRW01","","Haemoproteus","Acrocephalus sechellensis","Acrocephalus_sechellensis","yes","Acrocephalus sechellensis","GRW01 Acrocephalus sechellensis","Acrocephalus sechellensis","Passeriformes"
"66","Acrocephalus stentoreus",75,"Acrocephalus stentoreus","GRW03","","Haemoproteus","Acrocephalus stentoreus","Acrocephalus_stentoreus","yes","Acrocephalus stentoreus","GRW03 Acrocephalus stentoreus","Acrocephalus stentoreus","Passeriformes"
"67","Acrocephalus stentoreus",76,"Acrocephalus stentoreus","ACSTE1","","Haemoproteus","Acrocephalus stentoreus","Acrocephalus_stentoreus","yes","Acrocephalus stentoreus","ACSTE1 Acrocephalus stentoreus","Acrocephalus stentoreus","Passeriformes"
"68","Aegithalos caudatus",80,"Aegithalos caudatus","ROFI1","","Haemoproteus","Aegithalos caudatus",NA,NA,"Aegithalos caudatus","ROFI1 Aegithalos caudatus","Aegithalos caudatus","Passeriformes"
"69","Aegithalos caudatus",81,"Aegithalos caudatus","PHSIB1","","Haemoproteus","Aegithalos caudatus",NA,NA,"Aegithalos caudatus","PHSIB1 Aegithalos caudatus","Aegithalos caudatus","Passeriformes"
"70","Agelaioides badius",87,"Molothrus badius","MOLBAD01","37","Haemoproteus","Molothrus badius","Agelaioides_badius","no","Agelaioides badius","MOLBAD01 Agelaioides badius","Agelaioides badius","Passeriformes"
"71","Agelaius phoeniceus",88,"Agelaius phoeniceus","SEIAUR01","SPTO_CA_ELW_6P","Plasmodium","Agelaius phoeniceus","Agelaius_phoeniceus","yes","Agelaius phoeniceus","SEIAUR01 Agelaius phoeniceus","Agelaius phoeniceus","Passeriformes"
"72","Agelaius phoeniceus",89,"Agelaius phoeniceus","RWB01","","Plasmodium","Agelaius phoeniceus","Agelaius_phoeniceus","yes","Agelaius phoeniceus","RWB01 Agelaius phoeniceus","Agelaius phoeniceus","Passeriformes"
"73","Alauda arvensis",93,"Alauda arvensis","SGS1","","Plasmodium","Alauda arvensis","Alauda_arvensis","yes","Alauda arvensis","SGS1 Alauda arvensis","Alauda arvensis","Passeriformes"
"74","Alauda arvensis",94,"Alauda arvensis","SYAT05","","Plasmodium","Alauda arvensis","Alauda_arvensis","yes","Alauda arvensis","SYAT05 Alauda arvensis","Alauda arvensis","Passeriformes"
"75","Alcippe morrisonia",96,"Alcippe morrisonia","POMFER01","P47","Plasmodium","Alcippe morrisonia","Alcippe_morrisonia","yes","Alcippe morrisonia","POMFER01 Alcippe morrisonia","Alcippe morrisonia","Passeriformes"
"76","Alcippe morrisonia",97,"Alcippe morrisonia","ALMOR06","","Haemoproteus","Alcippe morrisonia","Alcippe_morrisonia","yes","Alcippe morrisonia","ALMOR06 Alcippe morrisonia","Alcippe morrisonia","Passeriformes"
"77","Alcippe morrisonia",98,"Alcippe morrisonia","ALMOR08","","Haemoproteus","Alcippe morrisonia","Alcippe_morrisonia","yes","Alcippe morrisonia","ALMOR08 Alcippe morrisonia","Alcippe morrisonia","Passeriformes"
"78","Alcippe poioicephala",99,"Alcippe poioicephala","ALCPOI02","","Haemoproteus","Alcippe poioicephala",NA,NA,"Alcippe poioicephala","ALCPOI02 Alcippe poioicephala","Alcippe poioicephala","Passeriformes"
"79","Alcippe poioicephala",100,"Alcippe poioicephala","ALCPOI04","","Haemoproteus","Alcippe poioicephala",NA,NA,"Alcippe poioicephala","ALCPOI04 Alcippe poioicephala","Alcippe poioicephala","Passeriformes"
"80","Alethe diademata",101,"Alethe diademata","ALEDIA02","WA19","Plasmodium","Alethe diademata","Alethe_diademata","yes","Alethe diademata","ALEDIA02 Alethe diademata","Alethe diademata","Passeriformes"
"81","Alethe diademata",102,"Alethe diademata","ALEDIA01","P14","Plasmodium","Alethe diademata","Alethe_diademata","yes","Alethe diademata","ALEDIA01 Alethe diademata","Alethe diademata","Passeriformes"
"82","Alethe poliocephala",103,"Alethe poliocephala","GRW09","P46","Plasmodium","Alethe poliocephala","Alethe_poliocephala","yes","Alethe poliocephala","GRW09 Alethe poliocephala","Alethe poliocephala","Passeriformes"
"83","Alophoixus pallidus",104,"Criniger pallidus","ALBRE01","","Haemoproteus","Criniger pallidus",NA,NA,"Alophoixus pallidus","ALBRE01 Alophoixus pallidus","Alophoixus pallidus","Passeriformes"
"84","Ammodramus humeralis",106,"Ammodramus humeralis","DENPET03","","Plasmodium","Ammodramus humeralis","Ammodramus_humeralis","yes","Ammodramus humeralis","DENPET03 Ammodramus humeralis","Ammodramus humeralis","Passeriformes"
